name,price,rating,category,number of reviews,type,Distance from Downtown
Zedwell Capsules Piccadilly,US$235,N/A,N/A,N/A,Capsule Cocoon,0.6 km from downtown
Tavistock Hotel,"US$1,149",8.1,Very Good,"7,393 reviews",Twin Room with Garden View,1.9 km from downtown
Hour Glass Hotel,US$464,7.2,Good,"1,385 reviews",Single Room with Shared Bathroom,3.8 km from downtown
Hilton London Kensington Hotel,US$935,7.1,Good,"4,646 reviews",Double Room,6 km from downtown
Holiday Inn Express London - Wandsworth by IHG,US$766,7.9,Good,"4,526 reviews",Standard Double Room with Free Hot Breakfast,6.6 km from downtown
Four Points Flex by Sheraton London Euston,US$842,7.5,Good,699 reviews,Windowless Double Pod,2.1 km from downtown
Green Rooms,US$142,7.4,Good,"3,152 reviews",Bunk Bed in Male Dormitory Room,10 km from downtown
"Maldron Hotel Finsbury Park, London",US$883,8.4,Very Good,"2,917 reviews",Deluxe Double Room,6.4 km from downtown
DoubleTree by Hilton London – Docklands Riverside,US$823,7.9,Good,"7,141 reviews",Double Guest Room,6.5 km from downtown
Doubletree By Hilton London - Greenwich,US$767,8.2,Very Good,"2,808 reviews",Single Room,8.3 km from downtown
Palmers Lodge Swiss Cottage,US$171,8.2,Very Good,"4,991 reviews",Bed in 24-Bed Mixed Dormitory Room,5.4 km from downtown
The Marker Hotel,US$673,8.1,Very Good,129 reviews,Single Room with Private Bathroom,1.6 km from downtown
"Studios, Apartments and Private Bedrooms with Shared Kitchen at Chapter Kings Cross in London",US$500,7.5,Good,753 reviews,Standard Studio,2.8 km from downtown
Studio Apartments and Ensuite Bedrooms with Shared Kitchen at Chapter Ealing right next to North Acton Tube Station,US$251,7.8,Good,106 reviews,Studio,9.2 km from downtown
Studios2Let,US$774,7.9,Good,"12,234 reviews",Budget Studio,2.2 km from downtown
The Tower Hotel,US$922,7.9,Good,"21,244 reviews",Standard Sleeper Double Room,3.8 km from downtown
Strand Palace,"US$1,036",8.4,Very Good,"15,141 reviews",Classic Single Room,0.6 km from downtown
ibis London Docklands Canary Wharf,US$647,7.4,Good,"4,076 reviews",Double SweetRoom,8.3 km from downtown
Hilton London Tower Bridge,"US$1,203",8.7,Excellent,"2,493 reviews",King Room,3.1 km from downtown
Victoria Inn London,US$814,7.3,Good,"2,630 reviews",Single Room,2 km from downtown
Euro Hotel,US$766,8.1,Very Good,"3,884 reviews",Standard Single Room with External Bathroom Facilities,2.1 km from downtown
Royal National Hotel,"US$1,175",7.8,Good,"13,504 reviews",Standard Double Room,1.8 km from downtown
Pelican London Hotel and Residence,US$581,7.8,Good,"2,724 reviews",Deluxe Single Room,9.7 km from downtown
Hilton London Metropole,"US$1,035",7.7,Good,"6,893 reviews",Queen Room,3.2 km from downtown
Park Avenue Bayswater Inn Hyde Park,US$879,7.1,Good,"8,339 reviews",Single Room,4.5 km from downtown
"For Students Only Private Bedrooms with Shared Kitchen, Studios and Apartments at Canvas Walthamstow in London",US$139,7.7,Good,128 reviews,Single Room with Private Bathroom,10.7 km from downtown
Radisson RED London Greenwich The O2,US$838,7.2,Good,"1,339 reviews",Standard Room,9.6 km from downtown
The Tudor Inn Hotel,US$801,7.0,Good,488 reviews,Deluxe Single Room,2.1 km from downtown
Haven Hotel,US$712,7.2,Good,"3,720 reviews",Double Room,3.2 km from downtown
Central Station,US$816,6.7,Review score,793 reviews,Single Room with Shared Bathroom,2.9 km from downtown
The Columbia,US$836,7.7,Good,"5,073 reviews",Single Room,3.6 km from downtown
Beaconsfield Hotel,US$405,5.9,Review score,"1,628 reviews",Single Room,7.9 km from downtown
Earls Court Garden Hotel,US$449,4.2,Review score,"2,407 reviews",Comfort Single Room,4.7 km from downtown
Angus Hotel,US$766,7.7,Good,"3,652 reviews",Single Room,2.4 km from downtown
Antoinette Hotel Wimbledon,US$646,8.4,Very Good,"1,714 reviews",Single Room,10.8 km from downtown
Stunning House 15 min from Wembley arena,US$294,7.7,Good,64 reviews,Superior Single Room,9.9 km from downtown
Komo Hackney,US$270,6.6,Review score,"1,046 reviews",Double Room,6.6 km from downtown
ABC Bed and Breakfast,US$359,7.6,Good,71 reviews,Single Room with Private External Bathroom,8.9 km from downtown
Cosy room 3 s,US$346,N/A,N/A,N/A,Single Room,10.1 km from downtown
Vancouver Hotel and Studios,US$653,8.4,Very Good,"1,971 reviews",Single Room,4.4 km from downtown
326 Your 2nd Home,US$349,7.8,Good,113 reviews,Double Room with Shared Bathroom,4.8 km from downtown
Acacia Hotel,US$672,7.9,Good,947 reviews,Single Room with Private External Bathroom,3.7 km from downtown
Hampton By Hilton London Docklands,US$944,8.3,Very Good,"5,940 reviews",Queen Room - Mobility Access,11.7 km from downtown
Garden Court Hotel,US$628,7.8,Good,"3,130 reviews",Single Room with Private External Bathroom,4.4 km from downtown
ibis London Canning Town,US$652,8.9,Excellent,"6,713 reviews",Double SweetRoom,9.5 km from downtown
Spacious and Comfy Studios at Chapter Highbury I in London,US$294,6.1,Review score,117 reviews,Apartment,5.2 km from downtown
Orlando hotel,US$466,6.2,Review score,652 reviews,Standard Single Room,6.6 km from downtown
Prince Arthur,US$464,7.4,Good,"1,252 reviews",Single Room with Shared Bathroom,2.5 km from downtown
Cheshire Hotel Central London,US$811,6.7,Review score,"2,349 reviews",Single Room (No Window),1.2 km from downtown
Holiday Inn Express London Chingford by IHG,US$675,7.5,Good,"3,020 reviews",Standard Double Room with Free Hot Breakfast,13 km from downtown
The Birds Nest Hostel,US$118,5.0,Review score,788 reviews,Bunk Bed in Female Dormitory Room,8.1 km from downtown
Book A Bed Hostels,US$123,7.5,Good,549 reviews,Bed in 9-Bed Mixed Dormitory Room,7.9 km from downtown
Chic Studios and Apartments at Chapter South Bank in London,US$612,7.6,Good,212 reviews,Standard Studio,1.8 km from downtown
Jesmond Hotel,US$868,7.9,Good,"1,099 reviews",Single Room with Shared Bathroom,1.6 km from downtown
Chic Modern Apartments at Mannequin House in London,US$335,7.0,Good,20 reviews,Single Room,10.8 km from downtown
Melbourne House Hotel,US$764,8.3,Very Good,"1,263 reviews",Single Room with Private Bathroom,2 km from downtown
Four Points Flex by Sheraton London Shoreditch East,US$616,7.8,Good,"5,063 reviews",Windowless Standard Double Room,5.5 km from downtown
The Long Room Hotel and Bar,US$392,6.4,Review score,856 reviews,Standard Single Room,9.5 km from downtown
Hampstead Britannia,US$706,6.9,Review score,746 reviews,Double Room,4.8 km from downtown
DoubleTree by Hilton London Ealing,US$785,7.9,Good,"1,945 reviews",Queen Room,11.3 km from downtown
Oakley Hotel,US$671,7.5,Good,792 reviews,Twin Room with Shared Bathroom,3.8 km from downtown
Four Stars Hotel,US$581,5.1,Review score,"1,692 reviews",Double Room with Private Bathroom,3.1 km from downtown
Best Western Buckingham Palace Rd,US$981,8.0,Very Good,"2,351 reviews",Standard Single Room,2.1 km from downtown
My Place Hotel,US$643,6.3,Review score,"1,282 reviews",Standard Single Room,4.9 km from downtown
"London Chigwell Prince Regent Hotel, BW Signature Collection",US$820,7.6,Good,537 reviews,Small Double Room - Non-Smoking,17 km from downtown
City View Hotel Roman Road,US$411,4.2,Review score,646 reviews,Economy Double Room,5.9 km from downtown
City View Hotel Stratford,US$581,4.6,Review score,789 reviews,Standard Double Room,9.9 km from downtown
Generator London,US$145,6.8,Review score,"11,855 reviews",Bed in 10 + Mixed Dormitory Room,2.1 km from downtown
Elysee Hyde Park,US$787,7.3,Good,"1,898 reviews",Standard Single Room,3.5 km from downtown
Hampton by Hilton London Waterloo,"US$1,192",8.2,Very Good,"6,576 reviews",Queen Room,1.5 km from downtown
Troy Hotel,US$672,7.9,Good,"2,792 reviews",Single Standard,4 km from downtown
The Private Rooms in Paddington,US$403,8.6,Excellent,269 reviews,Single Room,4.8 km from downtown
The Colonnade,US$432,6.5,Review score,"1,478 reviews",Single Room,4.4 km from downtown
Olympic House Hotel,US$751,7.7,Good,"2,588 reviews",Single Room with Bathroom,3.2 km from downtown
DoubleTree by Hilton London Angel Kings Cross,"US$1,352",8.1,Very Good,"4,817 reviews",Double Room,3 km from downtown
Holiday Inn London - Regent's Park by IHG,"US$1,050",8.2,Very Good,"5,851 reviews",Standard Double Room,2 km from downtown
Elmwood Hotel,US$515,6.2,Review score,"2,366 reviews",Single,2.4 km from downtown
Islington Inn,US$418,6.4,Review score,"1,081 reviews",Single Room,4.9 km from downtown
Hotel Meridiana,US$641,8.0,Very Good,"2,964 reviews",Basic Single Room – Shared Bathroom Facilities,2.4 km from downtown
LSE Passfield Hall,US$360,8.0,Very Good,"3,349 reviews",Single Room with Shared Bathroom,2 km from downtown
The Belgrove Hotel,US$310,6.1,Review score,"5,892 reviews",Single Room with Shared Bathroom,2.5 km from downtown
Wardonia Hotel Kings Cross,US$564,7.1,Good,"2,961 reviews",Single Room,2.4 km from downtown
Sonder Camden Road,US$562,8.0,Very Good,"2,804 reviews",Single Room,4.6 km from downtown
mk hotel london,US$610,8.3,Very Good,"1,460 reviews",Economy Single Room,7.6 km from downtown
Cromwell Hotel,US$416,7.4,Good,70 reviews,Superior Single Room,4.4 km from downtown
"PubLove @ The Steam Engine,Waterloo",US$194,7.6,Good,"3,684 reviews",Bed in 18-Bed Mixed Dormitory Room with Shared Bathroom,1.6 km from downtown
"PubLove @ The Green man, Paddington",US$193,6.3,Review score,"2,317 reviews",Bed in 12-Bed Mixed Dormitory Room with Shared Bathroom,3.3 km from downtown
Onefam Notting Hill,US$216,8.9,Excellent,"1,620 reviews",Bed in an 8-Bed Dormitory Room,4.6 km from downtown
Holland Inn Hotel,US$478,5.5,Review score,"1,118 reviews",Single Room,5.7 km from downtown
Smart Russell Square,US$141,7.4,Good,"9,669 reviews",Bed in 12-Bed Mixed Dormitory Room Shared Bathroom,1.7 km from downtown
"PubLove @ The Exmouth Arms, Euston",US$181,7.0,Good,"2,712 reviews",Bed in 8-Bed Mixed Dormitory Room,2.4 km from downtown
Bridge Park Hotel,US$405,6.3,Review score,"2,660 reviews",Single Room with Shared Bathroom,10 km from downtown
Smart Hyde Park Inn,US$157,7.5,Good,"5,655 reviews",Bed in 15-Bed Mixed Dormitory Room,4.1 km from downtown
LSE Rosebery Hall,US$339,8.0,Very Good,"1,792 reviews",Basic Single Room with Shared Bathroom,2.7 km from downtown
The Park Hotel,US$653,5.6,Review score,"1,793 reviews",Deluxe Double Room,2 km from downtown
"Hotel DC, Stratford",US$513,8.1,Very Good,"3,509 reviews",Single Room,10.9 km from downtown
Arriva Hotel,US$638,7.2,Good,"5,839 reviews",Single Room,2.5 km from downtown
"PubLove @ The Crown, Battersea",US$168,6.5,Review score,"1,854 reviews",Bed in 15-Bed Mixed Dormitory Room with Shared Bathroom,5 km from downtown
Wombat's City Hostel London,US$240,8.7,Excellent,"7,610 reviews",Bed in 8-Bed Mixed Dormitory Room,4.1 km from downtown
Dreamtel London Kensington,US$736,7.0,Good,"2,181 reviews",Standard Single Room,4.7 km from downtown
72QT,US$688,8.5,Very Good,"3,085 reviews",Single Room with Shared Bathroom,4 km from downtown
Phoenix Hotel,US$804,8.3,Very Good,"5,997 reviews",Single Room,4.3 km from downtown
Comfotel GRN,US$485,6.1,Review score,"1,704 reviews",Single Room,6.6 km from downtown
"PubLove @ The White Ferry, Victoria",US$190,6.8,Review score,"4,241 reviews",Bed in 12-Bed Mixed Dormitory Room with Shared Bathroom,2.4 km from downtown
Goodwood Hotel,US$494,5.1,Review score,"2,251 reviews",Single Room with Shared Bathroom,2 km from downtown
European Hotel,US$496,6.4,Review score,"5,655 reviews",Basic Single Room with Shared Bathroom,2.5 km from downtown
For Students Only Ensuite Bedrooms with Shared Kitchen at Will Wyatt in London,US$146,6.5,Review score,37 reviews,Single Room with Private Bathroom,4.1 km from downtown
Good Priced Single Rooms in East Acton,US$217,9.3,Wonderful,4 reviews,Single Room with Shared Bathroom,8.1 km from downtown
Abbey Court Hotel - Hyde Park,US$555,6.5,Review score,45 reviews,Single Room,3.3 km from downtown
The Ship Inn,US$555,7.4,Good,408 reviews,Double Room with Shared Bathroom,7.9 km from downtown
Mercure London Earls Court,US$815,8.5,Very Good,523 reviews,Classic Queen Room with Rainfall Shower,5.5 km from downtown
Holiday Inn Express Southwark by IHG,"US$1,174",8.0,Very Good,"5,572 reviews",Standard Double Room with Free Hot Breakfast,1.8 km from downtown
Belmont Hotel,US$473,5.6,Review score,"1,132 reviews",Single Room - No Window,3.2 km from downtown
Sonder The Gilbert,US$748,7.7,Good,"1,134 reviews",Single Room,4.4 km from downtown
The Clarendon Hotel,US$664,8.3,Very Good,"6,137 reviews",Classic Single Room,10.4 km from downtown
Brick Lane Hotel,US$581,7.7,Good,"1,592 reviews",Budget Single Room,4.1 km from downtown
Charlie Hotel,US$473,6.4,Review score,"1,957 reviews",Single Room,5.3 km from downtown
Hostelle - women only hostel London,US$188,8.1,Very Good,"4,415 reviews",Bed in 14-Bed Female Dormitory Room,5.3 km from downtown
Accommodation Plus,US$521,7.8,Good,34 reviews,Single Room,4.1 km from downtown
Lidos Hotel,US$981,8.0,Very Good,857 reviews,Double Room,2.1 km from downtown
PubLove @ The Rose & Crown,US$228,7.4,Good,"2,051 reviews",Bed in 9-Bed Mixed Dormitory Room,2.3 km from downtown
Best Western Victoria Palace,US$993,8.5,Very Good,92 reviews,Standard Single Room,2 km from downtown
St Giles London – A St Giles Hotel,US$935,7.4,Good,"15,626 reviews",Urban Solo Room,1.2 km from downtown
Central Pimlico Hub,US$502,6.7,Review score,6 reviews,Deluxe Single Room,2.1 km from downtown
Urbany Hostel London 18-40 Years Old,US$218,8.8,Excellent,"2,846 reviews",Bed in 8-Bed Mixed Dormitory Room,4.5 km from downtown
LSE Bankside House,US$444,8.1,Very Good,"7,432 reviews",Single Room with Shared Bathroom,2 km from downtown
ibis London City - Shoreditch,US$849,8.0,Very Good,"7,244 reviews",Double SweetRoom,3.9 km from downtown
Moxy London Stratford,US$829,8.3,Very Good,"4,977 reviews","Moxy Sleeper, Guest room, 1 Queen",9.6 km from downtown
The Grange Pub,US$518,8.3,Very Good,540 reviews,Large Single Room with Shared Bathroom,3.9 km from downtown
Alhambra Hotel,US$690,7.8,Good,"4,435 reviews",Double Room with Shared Bathroom,2.5 km from downtown
Colliers Hotel,US$568,6.4,Review score,"1,394 reviews",Single Room with private toilet and shower,2.1 km from downtown
Onefam Waterloo 18-36 years old,US$203,8.7,Excellent,791 reviews,Bed in 12-Bed Mixed Dormitory Room,1.7 km from downtown
The Walrus Bar and Hostel,US$191,7.7,Good,"3,187 reviews",Bed in 26-Bed Mixed Dormitory Room,1.2 km from downtown
The Paramount Hotel,US$611,7.1,Good,"3,515 reviews",Single Room,5.1 km from downtown
DoubleTree by Hilton London Victoria,"US$1,403",7.9,Good,"2,991 reviews",Queen Room,1.9 km from downtown
Grand Heights Suites,US$313,6.2,Review score,427 reviews,Single Room with Shared Shower and Toilet,10.2 km from downtown
Downton Avenue,US$344,N/A,N/A,N/A,Double or Twin Room,7.6 km from downtown
Comfortable Studios and Apartments at Chapter Spitalfields in London,US$610,7.9,Good,"1,031 reviews",Deluxe Studio,3.7 km from downtown
ibis London Stratford,US$666,7.5,Good,"3,260 reviews",Accessible Room with One Double Bed,9.9 km from downtown
DoubleTree by Hilton London Chelsea,"US$1,123",8.2,Very Good,"1,456 reviews",Double Room,5.4 km from downtown
Leman House,US$454,6.9,Review score,"1,157 reviews",Single Room with Private Bathroom,4.2 km from downtown
Rushmore Hotel,US$640,7.0,Good,"1,332 reviews",Single Room,4.9 km from downtown
Lancaster Gate Hotel,US$827,7.5,Good,"13,145 reviews",Single Room,3.8 km from downtown
Ascot Hyde Park Hotel,US$670,5.9,Review score,"4,197 reviews",Single Room,3.5 km from downtown
Clink261 Hostel,US$170,7.5,Good,"7,834 reviews",Bed in Mixed Dormitory Room for 18 people,2.5 km from downtown
Mowbray Court Hotel,US$718,7.4,Good,"2,364 reviews",Single Room,4.9 km from downtown
Pembridge Palace Hotel,US$887,8.0,Very Good,"11,833 reviews",Single Room with Private External Bathroom,4.5 km from downtown
Prime Backpackers Angel,US$240,8.0,Very Good,"2,482 reviews",Bed in 12-Bed Mixed Dormitory Room,3.2 km from downtown
Grenville House Hotel,US$646,4.1,Review score,901 reviews,Single Room,2 km from downtown
Hyde Park International,US$926,8.2,Very Good,"2,880 reviews",Small Single Room,4.1 km from downtown
Crestfield Hotel,US$772,8.0,Very Good,"6,429 reviews",Superior Single Room,2.5 km from downtown
The Wesley Euston,US$970,7.5,Good,"3,432 reviews",Standard Single Room,2.2 km from downtown
Falcon Hotel,US$777,7.4,Good,"1,291 reviews",Small Double Room,3.3 km from downtown
"Sonder The Prince, Vauxhall",US$815,8.0,Very Good,649 reviews,Queen Room,1.9 km from downtown
"The Westminster London, Curio Collection by Hilton","US$1,237",8.5,Very Good,"7,850 reviews",Queen Room,1.6 km from downtown
London Stays Whitechapel,US$451,7.0,Good,195 reviews,Double Room,5.1 km from downtown
Hilton London Canary Wharf,"US$1,022",8.6,Excellent,"4,018 reviews",Double Room,7.6 km from downtown
Hackney Guest Rooms,US$410,7.5,Good,382 reviews,Single Room,7.6 km from downtown
Hilton London Hyde Park,"US$1,369",7.0,Good,"1,046 reviews",Single Room,4.2 km from downtown
Hyde Park Boutique Hotel,US$705,7.3,Good,"2,841 reviews",Single Room,4 km from downtown
Premium Stays London,US$411,9.2,Wonderful,19 reviews,Deluxe Single Room,10 km from downtown
Putney Hotel; BW Signature Collection,US$723,6.7,Review score,306 reviews,Superior Double Room,8.1 km from downtown
Sonder Kensington Gardens,US$779,7.9,Good,"1,349 reviews",Single Room,4.1 km from downtown
Lavender Guest House,US$568,8.4,Very Good,36 reviews,Standard Single Room,5.6 km from downtown
Hampton By Hilton London Old Street,US$990,8.2,Very Good,"1,256 reviews",Queen Room - No Window,3.5 km from downtown
E1 Luxury Penthouse,US$477,5.9,Review score,27 reviews,Double Room,5.1 km from downtown
Charlotte Guest House,US$537,8.5,Very Good,"5,458 reviews",Single Room with Shared Bathroom,6.4 km from downtown
Hoxton Rooms E2,US$320,6.9,Review score,57 reviews,Double Room,4.9 km from downtown
Good priced Double Rooms in Sherperds bush,US$248,6.1,Review score,435 reviews,Single Room,7.5 km from downtown
Central London rooms EC1V,US$470,6.1,Review score,170 reviews,Budget Double Room,2.6 km from downtown
Cosy Studios and Apartments at Chapter Aldgate in London,US$562,7.6,Good,189 reviews,Queen Studio,4.2 km from downtown
La Gaffe - Bed and Breakfast,US$718,8.5,Very Good,823 reviews,Single Room,6.8 km from downtown
Somerset Hotel Baker Street London,US$685,5.4,Review score,622 reviews,Standard Single Room,2.9 km from downtown
Goodenough College – University Residence,US$555,8.4,Very Good,"1,587 reviews",Standard Single Room with Shared Bathroom - Male Floor,2 km from downtown
Amazing En suite Double Room,US$264,N/A,N/A,N/A,Double Room,9.4 km from downtown
En Suite Bedrooms in Canary Wharf,US$294,5.0,Review score,1 review,Single Room with Private External Bathroom,8.1 km from downtown
Ivy House Hotel,US$646,5.8,Review score,"2,815 reviews",Deluxe Single Room,2.1 km from downtown
The California - London Kings Cross,"US$1,133",7.8,Good,"4,726 reviews",Small Double Room,2.5 km from downtown
ibis Styles London Ealing,US$773,8.3,Very Good,"2,342 reviews",Queen Room,12.7 km from downtown
Central Hoxton Shoreditch,US$862,7.8,Good,"3,195 reviews",Single Room,4.3 km from downtown
"The Gantry London, Curio Collection By Hilton",US$988,8.8,Excellent,"4,024 reviews",King Room - Mobility Accessible,9.4 km from downtown
The Villa Kensington,US$699,7.2,Good,"2,097 reviews",Single Room,4.3 km from downtown
ibis London Blackfriars,"US$1,034",8.1,Very Good,"6,581 reviews",Standard Double Room,1.6 km from downtown
24/7 London Hostel,US$110,5.8,Review score,231 reviews,Bed in 10-Bed Mixed Dormitory Room,7 km from downtown
For Students Only Your Study Hub in London with Stunning Amenities at OLIB,US$105,N/A,N/A,N/A,Single Room with Shared Bathroom,2.7 km from downtown
Guest Rooms 15 minutes to Central London,US$310,7.1,Good,63 reviews,Single Room,8.8 km from downtown
Smart Camden Inn,US$159,7.8,Good,"3,095 reviews",Bunk Bed in Mixed Dormitory Room,3.4 km from downtown
Imperial Victoria Square,US$733,8.5,Very Good,52 reviews,Single Room with Shared Bathroom,1.6 km from downtown
Westpoint Hotel,US$797,7.5,Good,214 reviews,Single Room,3.3 km from downtown
Eurotraveller Hotel- Express (Elephant & Castle),US$849,8.1,Very Good,"1,010 reviews",Double Room,2.8 km from downtown
The House on Warwick,US$940,7.6,Good,"2,614 reviews",Single Room,2 km from downtown
Kensal Lodge Guest House,US$360,8.2,Very Good,948 reviews,Small Single Room,7.3 km from downtown
Holiday Inn Express London-Hammersmith by IHG,US$920,8.1,Very Good,"8,240 reviews",Standard Double Room with Free Hot Breakfast,7.4 km from downtown
Roseview Alexandra Palace Hotel,US$509,6.8,Review score,"1,467 reviews",Single Room,9.4 km from downtown
Hotel CG London,US$584,8.3,Very Good,730 reviews,Deluxe Single Room,9.4 km from downtown
The Abbey Notting Hill,US$831,7.7,Good,566 reviews,Single Room,4.8 km from downtown
Cable Room,US$315,6.5,Review score,42 reviews,Double Room,5.7 km from downtown
Kip Hotel,US$336,7.3,Good,"4,548 reviews",Small Single Room with Shared Bathroom,6.7 km from downtown
"Langton Close House, London",US$444,7.1,Good,29 reviews,Standard Single Room,2.2 km from downtown
The Montana Hotel,US$842,7.8,Good,"6,246 reviews",Economy Single Room with Shared Bathroom,4.1 km from downtown
Central Park Hotel,US$874,6.9,Review score,"17,061 reviews",Original Single Room,4 km from downtown
MARINA HOTEL London,"US$1,102",8.3,Very Good,47 reviews,Double Room,3 km from downtown
Prince William Hotel,US$868,7.4,Good,673 reviews,Single Room,3.6 km from downtown
Park Plaza London Riverbank,"US$1,423",8.2,Very Good,"14,134 reviews",Superior Double Room,1.8 km from downtown
Sonder The Voyage,"US$1,062",7.8,Good,984 reviews,Single Room,3.3 km from downtown
Dancenter South London Near Denmark Hill,US$542,4.7,Review score,12 reviews,Standard Single Room,4.5 km from downtown
The Station Hotel,US$769,8.5,Very Good,595 reviews,Double Room,10.7 km from downtown
Alexandra Hotel,US$921,7.0,Good,"6,422 reviews",Superior Double Room,3.2 km from downtown
Seaview,US$392,7.2,Good,66 reviews,Superior Single Room with Lake View,6.6 km from downtown
The Bishop,US$437,8.9,Excellent,65 reviews,Single Room,8.6 km from downtown
simply guesthouse,US$307,8.7,Excellent,591 reviews,Single Room,16.9 km from downtown
Days Inn Hyde Park,"US$1,110",7.8,Good,"1,745 reviews",Single Room - Non-Smoking,3.3 km from downtown
The Alma Hotel,US$921,8.7,Excellent,644 reviews,Double Room,6.7 km from downtown
"Wandsworth, South London Deluxe King Room 4",US$326,4.1,Review score,39 reviews,Deluxe Double Room,7.1 km from downtown
The Chapter Hotels- Princes Square,US$797,8.1,Very Good,11 reviews,Single Room,4.6 km from downtown
London Bridge Hotel,"US$1,395",8.9,Excellent,"2,706 reviews",Standard Double Room,2.7 km from downtown
London E14 Rooms,US$320,6.5,Review score,23 reviews,Double Room,7.6 km from downtown
West Cromwell Hotel,US$487,7.5,Good,"1,992 reviews",Single Room,5.2 km from downtown
Residence Inn by Marriott London Kensington,"US$1,175",8.1,Very Good,"3,384 reviews",Double Studio Suite,5.4 km from downtown
Trendy Studio Apartments at IQ Hammersmith in London,US$344,6.3,Review score,30 reviews,Studio,6.8 km from downtown
Hotel Unique,US$552,8.1,Very Good,766 reviews,Single Room,8.8 km from downtown
AMANO Covent Garden,"US$1,539",8.3,Very Good,"7,548 reviews",Comfy room,0.9 km from downtown
Mornington Hotel London Victoria,US$881,7.9,Good,897 reviews,Single Room,2.1 km from downtown
Gracehill Suite,US$278,6.8,Review score,10 reviews,Deluxe Single Room,13 km from downtown
Great Rooms in Stepney Green Station - 12,US$409,7.4,Good,465 reviews,Double Room with Shared Bathroom,5.9 km from downtown
Wembar Hotel,US$543,6.3,Review score,726 reviews,Standard Single Room with Shower,5 km from downtown
Stepney Green Comfy Double bed rooms 14,US$431,7.3,Good,334 reviews,Double Room with Shared Bathroom,6 km from downtown
The Angel of Bow,US$620,7.4,Good,44 reviews,Single Room,7.5 km from downtown
Adam Short Stay,US$370,8.6,Excellent,74 reviews,Double Room with Shared Bathroom,12.8 km from downtown
St Pancras Inn,US$904,6.9,Review score,"1,414 reviews",Economy Single Room (No Window),2.8 km from downtown
Borough High Street Rooms,US$708,7.4,Good,119 reviews,Single Room with Shared Bathroom,2.4 km from downtown
"The Stratford, Autograph Collection","US$1,090",8.8,Excellent,"2,905 reviews",Standard Room with Queen Bed and City View,9.3 km from downtown
Holland Road Stays,US$547,6.7,Review score,420 reviews,Studio,5.9 km from downtown
Mimi's Hotel Soho,"US$1,092",7.9,Good,"3,811 reviews",Mimi's Mini No Window,0.8 km from downtown
Berjaya Eden Park London Hotel,US$645,6.3,Review score,"2,455 reviews",Classic Single Room,4.1 km from downtown
Eurotraveller Hotel - Premier - Tower Bridge,US$804,7.8,Good,"4,089 reviews",Double Room,3.8 km from downtown
Large House In London's Trendiest Area,US$242,1.0,Review score,3 reviews,Single Room with Shared Bathroom,5.6 km from downtown
Walpole House,US$294,6.0,Review score,115 reviews,Small Single Room,9.7 km from downtown
The Grapevine Hotel,US$488,5.8,Review score,"1,605 reviews",Single ensuite,2.2 km from downtown
"Goldsmid House, Victoria",US$548,7.3,Good,227 reviews,Single Room,1.8 km from downtown
Carlton Hotel,US$589,6.1,Review score,"5,440 reviews",Single Room - En Suite,2.6 km from downtown
"Radisson Blu Hotel, London South Kensington - formerly Vanderbilt","US$1,200",7.2,Good,"5,655 reviews",Single Room,4 km from downtown
London En-suite Double Rooms - Leytonstone E11,US$481,7.4,Good,182 reviews,Double Room with Private Bathroom,11.8 km from downtown
Sonder The Henry,US$820,8.1,Very Good,"3,846 reviews",Single Room,3.9 km from downtown
K Hotel Kensington,US$714,7.9,Good,"6,521 reviews",Single Room,4.4 km from downtown
Plaza Hotel,US$473,5.7,Review score,"1,152 reviews",Double Room,6.6 km from downtown
Comfotel BLU,US$555,6.7,Review score,"1,642 reviews",Single Room,6.6 km from downtown
London Town Hotel,US$744,7.9,Good,"1,230 reviews",Single Room,4.9 km from downtown
Eltar Hostle,US$555,8.6,Excellent,247 reviews,King Room,2.7 km from downtown
L S Hotel,US$427,6.6,Review score,8 reviews,Single Room,8 km from downtown
Danubius Hotel Regents Park,"US$1,071",8.3,Very Good,"4,806 reviews",Standard Double Room,3.7 km from downtown
London Mile End Rooms,US$356,6.6,Review score,266 reviews,Double Room,7.3 km from downtown
Cozy single room near station,US$288,8.4,Very Good,12 reviews,Budget Single Room,11 km from downtown
The Premier Notting Hill,US$952,8.3,Very Good,"7,059 reviews",Deluxe Single Room,4.5 km from downtown
Park International Hotel,US$927,7.7,Good,"6,603 reviews",Single Room,4.4 km from downtown
Smart Hyde Park View,US$174,7.8,Good,"3,971 reviews",Bed in Mixed Dormitory Room for 6 people with Bathroom,3.9 km from downtown
Waterloo Central London - Private Rooms in Shared Apartment,US$588,8.0,Very Good,121 reviews,Double Room with Garden View,1.4 km from downtown
Iolanthe,US$464,8.9,Excellent,372 reviews,Small Single Room,8.8 km from downtown
The Chapter Hotels - Griffin House,US$914,7.7,Good,"1,134 reviews",Single Room with Private Bathroom,2.7 km from downtown
Wilson House - Camden,US$588,8.2,Very Good,366 reviews,Large Double Room,5.4 km from downtown
Queens Hotel,US$588,7.1,Good,"2,309 reviews",Single Room,6.8 km from downtown
Hilton London Angel Islington,"US$1,280",8.0,Very Good,"2,350 reviews",Double Room - Mobility Access,3.6 km from downtown
"London Shelton Hotel, Finsbury Park",US$521,5.7,Review score,206 reviews,Standard Single Room with Shared Bathroom,8 km from downtown
